Date,Open,High,Low,Close,Adj Close,Volume
2020-11-11,1.181963,1.183292,1.174729,1.181879,1.181879,0
2020-11-12,1.177870,1.182300,1.175959,1.178030,1.178030,0
2020-11-13,1.180526,1.183390,1.179969,1.180339,1.180339,0
2020-11-16,1.184427,1.186873,1.181474,1.184525,1.184525,0
2020-11-17,1.185972,1.189273,1.184553,1.185944,1.185944,0
2020-11-18,1.186437,1.189100,1.185115,1.186366,1.186366,0
2020-11-19,1.184287,1.185536,1.181740,1.184764,1.184764,0
2020-11-20,1.186746,1.189089,1.185185,1.186648,1.186648,0
2020-11-23,1.186535,1.190590,1.180317,1.186648,1.186648,0
2020-11-24,1.184180,1.189386,1.183894,1.184273,1.184273,0
2020-11-25,1.190051,1.192805,1.188284,1.190051,1.190051,0
2020-11-26,1.191753,1.194100,1.188693,1.192000,1.192000,0
2020-11-27,1.191185,1.196187,1.191072,1.191600,1.191600,0
2020-11-30,1.197074,1.200206,1.194415,1.197146,1.197146,0
2020-12-01,1.193773,1.205357,1.193599,1.193816,1.193816,0
2020-12-02,1.206986,1.210742,1.204079,1.207438,1.207438,0
2020-12-03,1.211343,1.217500,1.210243,1.211460,1.211460,0
2020-12-04,1.214535,1.217775,1.213371,1.214565,1.214565,0
2020-12-07,1.212062,1.216353,1.208080,1.212136,1.212136,0
2020-12-08,1.210947,1.213416,1.209716,1.211314,1.211314,0
2020-12-09,1.210991,1.214900,1.207394,1.211094,1.211094,0
2020-12-10,1.208167,1.215806,1.208036,1.207875,1.207875,0
2020-12-11,1.214344,1.216397,1.210786,1.214429,1.214429,0
2020-12-14,1.213357,1.217404,1.211754,1.213340,1.213340,0
2020-12-15,1.214875,1.216649,1.212695,1.214890,1.214890,0
2020-12-16,1.215377,1.221300,1.214698,1.215430,1.215430,0
2020-12-17,1.219706,1.226300,1.219245,1.219959,1.219959,0
2020-12-18,1.226196,1.226843,1.222718,1.226272,1.226272,0
2020-12-21,1.221061,1.223466,1.213077,1.221613,1.221613,0
2020-12-22,1.223840,1.225900,1.216604,1.223691,1.223691,0
2020-12-23,1.218591,1.221941,1.215776,1.218665,1.218665,0
2020-12-24,1.219393,1.221747,1.217938,1.219141,1.219141,0
2020-12-25,1.218472,1.221300,1.216700,1.218472,1.218472,0
2020-12-28,1.220703,1.225200,1.218353,1.220510,1.220510,0
2020-12-29,1.222001,1.227599,1.222001,1.222345,1.222345,0
2020-12-30,1.225325,1.230875,1.225205,1.225295,1.225295,0
2020-12-31,1.229906,1.230951,1.222300,1.229990,1.229990,0
2021-01-01,1.217285,1.221699,1.213499,1.218027,1.218027,0
2021-01-04,1.224905,1.230999,1.217137,1.225070,1.225070,0
2021-01-05,1.225295,1.229483,1.224995,1.225160,1.225160,0
2021-01-06,1.229861,1.235025,1.226693,1.230027,1.230027,0
2021-01-07,1.233776,1.234568,1.224665,1.234111,1.234111,0
2021-01-08,1.226873,1.228215,1.221493,1.227144,1.227144,0
2021-01-11,1.218784,1.219959,1.213474,1.218621,1.218621,0
2021-01-12,1.216160,1.217849,1.213887,1.216070,1.216070,0
