Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,1.277498,1.281525,1.272734,1.277955,1.277955,0
2017-06-20,1.273107,1.275526,1.260637,1.273237,1.273237,0
2017-06-21,1.263264,1.270906,1.259081,1.263248,1.263248,0
2017-06-22,1.267588,1.268713,1.265486,1.267572,1.267572,0
2017-06-23,1.268070,1.274372,1.267732,1.267813,1.267813,0
2017-06-26,1.274405,1.275998,1.270777,1.274340,1.274340,0
2017-06-27,1.272426,1.279476,1.271763,1.272459,1.272459,0
2017-06-28,1.281296,1.297236,1.279738,1.281296,1.281296,0
2017-06-29,1.293912,1.300103,1.293912,1.294147,1.294147,0
2017-06-30,1.300898,1.303101,1.295622,1.301118,1.301118,0
2017-07-03,1.301744,1.302253,1.293326,1.301643,1.301643,0
2017-07-04,1.294632,1.295840,1.291789,1.294867,1.294867,0
2017-07-05,1.293661,1.294834,1.289574,1.293494,1.293494,0
2017-07-06,1.292959,1.297219,1.292056,1.293176,1.293176,0
2017-07-07,1.296882,1.297690,1.286836,1.297353,1.297353,0
2017-07-10,1.289042,1.290989,1.286058,1.289125,1.289125,0
2017-07-11,null,null,null,null,null,null
2017-07-12,1.286008,1.290522,1.281263,1.285959,1.285959,0
2017-07-13,1.289225,1.295286,1.289075,1.289374,1.289374,0
2017-07-14,1.294834,1.309415,1.293661,1.294716,1.294716,0
2017-07-17,1.310960,1.311303,1.305125,1.311131,1.311131,0
2017-07-18,1.305142,1.312388,1.300678,1.305313,1.305313,0
2017-07-19,1.303713,1.305176,1.301304,1.303866,1.303866,0
2017-07-20,1.303118,1.303611,1.293544,1.303271,1.303271,0
2017-07-21,1.296580,1.301982,1.295555,1.296546,1.296546,0
2017-07-24,1.300542,1.305262,1.299207,1.300475,1.300475,0
2017-07-25,1.302677,1.308421,1.301168,1.303101,1.303101,0
2017-07-26,1.302813,1.306626,1.300407,1.302762,1.302762,0
2017-07-27,1.311510,1.315616,1.306336,1.311475,1.311475,0
2017-07-28,1.307480,1.313146,1.307053,1.307668,1.307668,0
2017-07-31,1.314285,1.319644,1.310032,1.314492,1.314492,0
2017-08-01,1.319784,1.324345,1.319784,1.319540,1.319540,0
2017-08-02,1.320777,1.324328,1.319279,1.320795,1.320795,0
2017-08-03,1.322874,1.326084,1.311475,1.322839,1.322839,0
2017-08-04,1.314579,1.316656,1.303322,1.314406,1.314406,0
2017-08-07,1.304546,1.306165,1.301592,1.304700,1.304700,0
2017-08-08,1.303492,1.305483,1.295505,1.303781,1.303781,0
2017-08-09,1.298583,1.302796,1.296966,1.298617,1.298617,0
2017-08-10,1.301575,1.301744,1.295673,1.301406,1.301406,0
2017-08-11,1.297774,1.300965,1.294599,1.297673,1.297673,0
2017-08-14,1.300813,1.302253,1.296092,1.300593,1.300593,0
2017-08-15,1.296596,1.297353,1.284802,1.296512,1.296512,0
2017-08-16,1.286803,1.290323,1.284456,1.286703,1.286703,0
2017-08-17,1.289075,1.291156,1.285413,1.289158,1.289158,0
2017-08-18,1.286587,1.291489,1.283565,1.286505,1.286505,0
2017-08-21,1.287283,1.291472,1.285182,1.287366,1.287366,0
2017-08-22,1.289857,1.291156,1.281197,1.289823,1.289823,0
2017-08-23,1.282462,1.283368,1.278282,1.282397,1.282397,0
2017-08-24,1.280295,1.283697,1.277743,1.280377,1.280377,0
2017-08-25,1.280180,1.288676,1.279640,1.280393,1.280393,0
2017-08-28,1.290556,1.293076,1.287432,1.290522,1.290522,0
2017-08-29,1.292775,1.297875,1.292691,1.292708,1.292708,0
2017-08-30,1.292290,1.293996,1.288361,1.292658,1.292658,0
